Address,Bedroom,Bathroom,Area(Marlas),Price(Crore)
Johar Town,4,5,10.0,3.48
Al Rehman Garden,5,6,10.0,3.5
Johar Town,4,5,10.0,3.41
Johar Town,4,5,10.0,3.53
Johar Town,4,5,10.0,3.76
Al Rehman Garden,5,6,10.0,3.6
Al Rehman Garden,5,6,10.0,3.8
Al Rehman Garden,5,6,10.0,3.9
LDA Avenue,5,6,10.0,3.25
Al Rehman Garden,5,6,10.0,4.3
Bahria Town,2,2,8.0,1.65
DHA,5,5,20.0,12.85
DHA,5,5,20.0,11.0
DHA,5,5,20.0,9.75
DHA,4,4,10.0,2.9
DHA,4,5,10.0,3.52
DHA,4,5,10.0,3.4
DHA,4,5,10.0,3.48
DHA,4,5,10.0,3.55
DHA,4,5,10.0,3.5
DHA,4,5,10.0,3.45
DHA,4,5,10.0,3.64
DHA,4,5,10.0,3.6
DHA,4,5,10.0,3.66
DHA,4,5,10.0,3.65
DHA,4,5,10.0,3.63
DHA,4,5,10.0,3.62
DHA,4,5,10.0,3.61
DHA,4,5,10.0,3.59
DHA,4,5,10.0,3.58
DHA,4,5,10.0,3.57
DHA,4,5,10.0,3.56
DHA,4,5,10.0,3.54
DHA,4,5,10.0,3.53
DHA,4,5,10.0,3.46
DHA,4,5,10.0,3.42
DHA,4,5,10.0,3.38
DHA,4,5,10.0,3.27
DHA,4,5,10.0,3.25
DHA,4,5,10.0,3.47
DHA,4,5,10.0,3.44
DHA,4,5,10.0,3.41
DHA,4,5,10.0,3.39
DHA,4,5,10.0,3.37
DHA,4,5,10.0,3.36
DHA,4,5,10.0,3.35
DHA,4,5,10.0,3.34
Green City,4,5,9.5,3.0
DHA,4,5,10.0,3.32
DHA,4,5,10.0,3.31
DHA,4,5,10.0,3.3
DHA,4,5,10.0,3.29
DHA,4,5,10.0,3.28
DHA,4,5,10.0,3.26
DHA,4,5,10.0,3.22
DHA,4,5,10.0,3.2
DHA,3,3,5.0,2.95
DHA,5,5,20.0,11.7
DHA,4,4,7.25,5.35
DHA,4,4,10.0,6.45
DHA,5,5,20.0,10.0
Bahria Town,4,4,10.0,3.8
New Garden Town,4,3,20.0,6.75
DHA,5,7,10.0,5.5
DHA,3,4,5.0,2.5
DHA,5,5,20.0,17.5
DHA,5,6,20.0,9.15
DHA,5,6,20.0,8.0
DHA,5,6,20.0,7.85
Green City,5,6,10.0,4.0
LDA Avenue,5,6,10.0,3.2
LDA Avenue,5,6,10.0,3.35
LDA Avenue,5,6,20.0,3.7
LDA Avenue,5,6,20.0,3.73
LDA Avenue,6,5,10.0,3.25
DHA,5,6,20.0,7.5
Bahria Town,4,5,10.0,3.84
Bahria Town,4,5,10.0,3.82
Bahria Town,4,5,10.0,3.8
Bahria Town,4,5,10.0,3.78
Bahria Town,4,5,10.0,3.77
Bahria Town,4,5,10.0,3.75
Bahria Town,4,5,10.0,3.73
Bahria Town,4,5,10.0,3.72
Bahria Town,4,5,10.0,3.71
Bahria Town,4,5,10.0,3.7
Bahria Town,4,5,10.0,3.69
Bahria Town,4,5,10.0,3.68
Bahria Town,4,5,10.0,3.67
DHA,5,6,20.0,7.35
Al Rehman Garden,5,6,10.0,3.55
Bahria Town,4,5,10.0,3.66
Bahria Town,4,5,10.0,3.65
Bahria Town,4,5,10.0,3.63
Bahria Town,4,5,10.0,3.62
Bahria Town,4,5,10.0,3.6
Bahria Town,4,5,10.0,3.59
Bahria Town,4,5,10.0,3.58
DHA,5,6,20.0,9.0
Bahria Town,4,5,10.0,3.57
Bahria Town,4,5,10.0,3.56
Bahria Town,4,5,10.0,3.55
DHA,5,6,20.0,8.75
Al Rehman Garden,5,6,10.0,3.1
Bahria Town,4,5,10.0,3.54
Bahria Town,4,5,10.0,3.53
Bahria Town,4,5,10.0,3.52
Bahria Town,4,5,10.0,3.51
Bahria Town,4,5,10.0,3.5
Bahria Town,4,5,10.0,3.98
Bahria Town,4,5,10.0,3.97
Bahria Town,4,5,10.0,3.96
Bahria Town,4,5,10.0,3.95
Bahria Town,4,5,10.0,3.94
Bahria Town,4,5,10.0,3.93
Bahria Town,4,5,10.0,3.92
Bahria Town,4,5,10.0,3.91
Bahria Town,4,5,10.0,3.9
Bahria Town,4,5,10.0,3.89
Bahria Town,4,5,10.0,3.88
Bahria Town,4,5,10.0,3.87
Bahria Town,4,5,10.0,3.86
Bahria Town,4,5,10.0,3.85
Bahria Town,4,5,10.0,3.83
Bahria Town,4,5,10.0,3.81
Bahria Town,4,5,10.0,3.79
Bahria Town,4,5,10.0,3.76
Bahria Town,4,5,10.0,3.74
Bahria Town,4,5,10.0,3.64
Bahria Town,4,5,10.0,3.61
Johar Town,7,6,7.5,2.9
Johar Town,3,3,3.0,1.3
Green City,3,4,5.0,2.25
DHA,5,6,20.0,8.65
DHA,5,6,20.0,8.45
DHA,6,6,20.0,16.0
DHA,5,5,20.0,12.5
DHA,3,4,5.0,2.1
DHA,6,6,40.0,42.0
DHA,7,7,20.0,16.5
DHA,5,5,20.0,11.5
DHA,5,4,20.0,9.0
DHA,3,4,5.0,1.5
DHA,5,5,20.0,12.0
DHA,5,5,20.0,9.6
DHA,4,4,7.0,6.25
DHA,3,4,5.0,2.75
DHA,6,6,40.0,32.0
DHA,5,6,20.0,12.0
Johar Town,4,5,10.0,3.69
Johar Town,4,5,10.0,3.85
Johar Town,4,5,10.0,3.9
Johar Town,3,4,5.0,2.68
Johar Town,3,4,5.0,2.65
Johar Town,4,5,10.0,3.77
Johar Town,3,4,5.0,2.54
Johar Town,3,4,5.0,2.56
Johar Town,4,5,10.0,3.82
Johar Town,4,5,10.0,3.8
Johar Town,4,5,10.0,3.78
Johar Town,4,5,10.0,3.74
Johar Town,4,5,10.0,3.72
Johar Town,4,5,10.0,3.7
Johar Town,4,5,10.0,3.68
Johar Town,3,4,5.0,2.38
Johar Town,4,5,10.0,3.67
Johar Town,4,5,10.0,3.66
Johar Town,3,4,5.0,2.7
Johar Town,4,5,10.0,3.57
Johar Town,4,5,10.0,3.56
Johar Town,4,5,10.0,3.54
Johar Town,3,4,5.0,2.44
Johar Town,3,4,5.0,2.42
Johar Town,4,5,10.0,3.89
Johar Town,4,5,10.0,3.87
Johar Town,3,4,5.0,2.43
Johar Town,3,4,5.0,2.4
Johar Town,3,4,5.0,2.46
Johar Town,4,5,10.0,3.64
Johar Town,3,4,5.0,2.52
Johar Town,4,5,10.0,3.63
Johar Town,3,4,5.0,2.55
Johar Town,3,4,5.0,2.45
Johar Town,4,5,10.0,3.62
Johar Town,4,5,10.0,3.6
Johar Town,4,5,10.0,3.55
Johar Town,4,5,10.0,3.5
Johar Town,4,5,10.0,3.65
Model Town,5,5,24.0,18.0
DHA,5,5,20.0,11.8
DHA,6,6,20.0,13.5
DHA,5,5,20.0,15.0
DHA,6,6,20.0,15.0
DHA,6,6,20.0,11.5
DHA,5,5,20.0,14.0
DHA,5,5,20.0,8.95
DHA,5,5,20.0,9.0
Wapda Town,4,5,10.0,3.97
Wapda Town,4,5,10.0,3.95
Wapda Town,4,5,10.0,3.94
Wapda Town,4,5,10.0,3.93
Wapda Town,4,5,10.0,3.92
Wapda Town,4,5,10.0,3.9
Wapda Town,4,5,10.0,3.88
Wapda Town,4,5,10.0,3.86
Wapda Town,4,5,10.0,3.85
Wapda Town,4,5,10.0,3.84
Al Rehman Garden,5,6,10.0,3.52
Tariq Garden,4,5,10.0,3.82
Tariq Garden,4,5,10.0,3.8
Tariq Garden,4,5,10.0,3.78
Tariq Garden,4,5,10.0,3.76
Tariq Garden,4,5,10.0,3.75
Tariq Garden,4,5,10.0,4.23
Tariq Garden,4,5,10.0,4.22
Tariq Garden,4,5,10.0,4.2
Tariq Garden,4,5,10.0,4.18
Tariq Garden,4,5,10.0,4.1
Tariq Garden,4,5,10.0,4.15
Tariq Garden,4,5,10.0,4.14
Tariq Garden,4,5,10.0,4.13
Tariq Garden,4,5,10.0,4.12
Tariq Garden,4,5,10.0,4.08
Tariq Garden,4,5,10.0,4.06
Tariq Garden,4,5,10.0,4.05
Tariq Garden,4,5,10.0,4.03
Tariq Garden,4,5,10.0,4.02
Tariq Garden,4,5,10.0,3.98
Tariq Garden,4,5,10.0,3.97
Tariq Garden,4,5,10.0,3.96
Tariq Garden,4,5,10.0,3.93
Tariq Garden,4,5,10.0,3.92
Tariq Garden,4,5,10.0,3.91
Tariq Garden,4,5,10.0,3.9
Tariq Garden,4,5,10.0,3.89
Tariq Garden,4,5,10.0,3.88
Tariq Garden,4,5,10.0,3.87
Tariq Garden,4,5,10.0,3.86
Tariq Garden,4,5,10.0,3.85
Tariq Garden,4,5,10.0,3.84
Tariq Garden,4,5,10.0,3.83
Tariq Garden,4,5,10.0,3.77
Johar Town,3,4,5.0,75000.0
Model Town,4,5,10.0,6.4
Model Town,4,5,10.0,5.6
Model Town,4,5,10.0,5.8
Model Town,4,5,10.0,6.2
Model Town,4,5,10.0,6.5
New Garden Town,4,5,10.0,8.2
New Garden Town,4,5,10.0,6.6
New Garden Town,4,5,10.0,6.7
New Garden Town,4,5,10.0,6.5
Faisal Town,4,5,10.0,6.1
Faisal Town,4,5,10.0,8.0
Faisal Town,4,5,10.0,7.6
Faisal Town,4,5,10.0,7.4
Model Town,4,5,10.0,7.3
Model Town,4,5,10.0,7.9
Model Town,4,5,10.0,7.6
Faisal Town,4,5,10.0,7.0
Faisal Town,4,5,10.0,6.5
DHA,3,4,5.0,2.25
DHA,5,5,20.0,14.8
DHA,5,6,20.0,8.95
DHA,4,5,20.0,7.5
DHA,3,4,5.0,2.05
DHA,3,4,5.0,2.12
Johar Town,3,4,5.0,2.5
Johar Town,3,4,5.0,2.57
Johar Town,3,4,5.0,2.58
Johar Town,3,4,5.0,2.48
Johar Town,3,4,5.0,2.35
Johar Town,4,5,10.0,3.96
Johar Town,4,5,10.0,3.94
Johar Town,4,5,10.0,3.93
Johar Town,4,5,10.0,3.84
Johar Town,4,5,10.0,3.92
DHA,7,8,20.0,15.0
Johar Town,3,4,5.0,2.47
Johar Town,4,5,10.0,3.52
Faisal Town,4,5,10.0,7.3
Johar Town,4,5,10.0,3.95
Johar Town,4,5,10.0,3.58
Johar Town,4,5,10.0,3.75
New Garden Town,4,5,10.0,6.3
Johar Town,4,5,10.0,3.4
Model Town,4,5,10.0,8.3
Model Town,4,5,10.0,8.5
Model Town,4,5,10.0,8.2
Model Town,4,5,10.0,7.5
Faisal Town,4,5,10.0,5.8
Faisal Town,4,5,10.0,5.6
Faisal Town,4,5,10.0,5.2
Model Town,4,5,10.0,6.6
DHA,5,6,20.0,8.55
